Frame	RMSE
1	0.4840
2	0.6015
3	0.7507
4	0.9738
5	0.5838
6	0.9621
7	1.2073
8	0.6257
9	0.7727
10	0.8647
11	0.6462
12	0.6240
13	0.5533
14	0.5814
15	0.7332
16	0.7945
17	0.6234
18	0.7598
19	0.5560
20	0.8259
21	0.8110
22	0.8997
23	0.6413
24	0.9556
25	0.7878
26	0.6755
27	0.8147
28	0.5788
29	0.7681
30	0.8600
31	0.5865
32	0.9202
33	0.6052
34	0.6595
35	0.5202
36	0.8332
37	1.2507
38	0.5499
39	0.8905
40	0.8244
41	0.5611
42	0.7013
43	1.1956
44	0.5840
45	0.6708
46	0.9993
47	0.6501
48	0.7820
49	0.6903
50	1.1341
51	0.9189
52	0.8684
53	0.8988
54	0.6403
55	0.6878
56	0.9414
57	0.8934
58	0.7669
59	0.7479
60	1.0221
61	0.7557
62	0.7439
63	0.8659
64	0.9351
65	0.7471
66	0.9062
67	1.0475
68	0.9404
69	0.6941
70	1.0749
71	0.6668
72	0.8834
73	0.7453
74	0.8601
75	0.8700
76	0.6644
77	0.8255
78	1.3131
79	1.0132
80	1.1742
81	0.7268
82	1.1562
83	1.2693
84	0.7113
85	0.6478
86	0.8952
87	0.8472
88	0.9632
89	1.4065
90	1.8551
91	1.2803
92	1.5064
93	1.5527
94	1.1759
95	0.8097
96	0.7798
97	1.3526
98	1.4963
99	1.3419
100	1.9713
101	1.4559
102	1.7102
103	1.7166
104	1.6669
105	1.9132
106	1.7073
107	2.0584
108	2.0237
109	1.5086
110	1.6639
111	1.4535
112	1.5576
113	1.8955
114	1.7664
115	2.0894
116	1.3667
117	1.1717
118	1.5800
119	1.2812
120	1.3228
121	1.3200
122	1.1456
123	1.3263
124	1.6234
125	1.7985
126	1.4653
127	1.3497
128	1.4210
129	1.3654
130	1.5051
131	1.3512
132	1.1854
133	1.2952
134	1.3588
135	1.2174
136	1.3147
137	1.3525
138	1.3051
139	1.3637
140	1.4491
141	1.4517
142	1.5393
143	1.6274
144	1.3984
145	1.4549
146	1.4443
147	1.7248
148	1.4498
149	1.7046
150	1.7515
151	1.1520
152	1.4651
153	1.4789
154	1.5485
155	1.0836
156	1.1015
157	1.3385
158	1.4770
159	1.2296
160	1.3000
161	1.2779
162	1.5665
163	1.4680
164	1.7653
165	1.9856
166	1.0731
167	1.6438
168	1.4944
169	1.4726
170	1.2038
171	1.9609
172	2.5706
173	1.9458
174	3.5168
175	3.0476
176	2.0574
177	2.3411
178	2.8007
179	1.8058
180	1.1802
181	1.4069
182	1.2534
183	2.0372
184	0.9328
185	0.9846
186	2.2623
187	1.9281
188	1.6592
189	2.3880
190	1.1318
191	1.6172
192	2.4541
193	1.6010
194	2.3365
195	1.2096
196	1.8734
197	1.0962
198	1.5518
199	1.1024
200	1.8996
201	1.3430
202	1.4372
203	0.8169
204	0.7391
205	1.4242
206	1.0369
207	1.2983
208	2.5662
209	2.7901
210	2.0094
211	1.7370
212	2.4025
213	1.7290
214	1.9226
215	1.3742
216	2.1057
217	3.4930
218	3.3880
219	3.4605
220	4.8084
221	3.3146
222	4.3129
223	3.9063
224	4.0587
225	4.1590
226	4.2093
227	3.6159
228	3.1064
229	3.7791
230	4.4503
231	5.7228
232	4.9581
233	3.7929
234	5.1317
235	4.6376
236	5.5430
237	4.7954
238	3.7467
239	5.5978
240	3.6963
241	3.6849
242	2.9918
243	4.3342
244	4.2574
245	3.9225
246	3.9511
247	4.0667
248	5.4540
249	6.0797
250	6.0888
251	5.8605
252	5.7442
253	4.6686
254	5.2639
255	4.8742
256	4.3574
257	4.9642
258	6.3097
259	4.7177
260	2.5781
261	3.5521
262	5.7441
263	5.7293
264	4.0752
265	3.4088
266	4.8268
267	5.5108
268	5.0422
269	4.6902
270	5.3989
271	4.3829
272	4.7817
273	3.4018
274	3.8287
275	2.1372
276	1.8044
277	3.5552
278	2.4606
279	0.8137
280	2.2882
281	2.2395
282	2.2131
283	1.8347
284	2.7329
285	2.9252
286	1.7558
287	3.1553
288	2.0136
289	2.8814
290	0.8350
291	1.9931
292	1.7111
293	2.1894
294	2.6424
295	1.5052
296	2.2938
297	3.3324
298	1.8918
299	1.3850
300	0.8094
301	0.9999
302	1.0832
303	2.7986
304	1.6056
305	2.6281
306	1.2762
307	1.1085
308	2.7773
309	3.3127
310	1.1260
311	2.3418
312	2.2978
313	2.8722
314	2.9940
315	2.3891
316	3.8009
317	2.6268
318	3.4685
319	4.0126
320	3.0605
321	3.9169
322	3.8857
323	2.4551
324	4.7362
325	4.7911
326	2.5198
327	2.9349
328	3.9954
329	1.8534
330	1.8340
331	1.9756
332	3.1947
333	4.4144
334	4.6052
335	4.8923
336	3.0254
337	1.7456
338	2.4481
339	2.8658
340	2.8422
341	3.7218
342	3.7939
343	3.5139
344	3.4281
345	3.0989
346	3.0742
347	3.0646
348	3.4652
349	3.9913
350	3.3856
351	3.5547
352	3.1051
353	2.7140
354	3.2792
355	3.2823
356	2.9523
357	2.8470
358	2.6493
359	3.3562
360	3.4186
361	3.2451
362	4.1106
363	4.4374
364	3.6411
365	3.7400
366	4.0205
367	4.2476
368	3.3046
369	3.3784
370	3.8662
371	3.9495
372	4.4144
373	3.9487
374	3.9510
375	3.7851
376	3.9846
377	3.7338
378	4.0967
379	3.9830
380	3.5407
381	3.0885
382	3.8913
383	4.4309
384	3.2214
385	3.7177
386	4.1520
387	4.0086
388	4.1582
389	3.5004
390	3.7263
391	5.0774
392	4.8502
393	3.7747
394	4.4032
395	5.2156
396	4.2311
397	6.8951
398	4.8213
399	8.0299
400	6.2800
401	9.2040
402	14.0370
403	12.9019
404	15.6517
405	17.2414
406	18.2727
407	17.6614
408	19.1142
409	17.9107
410	20.0130
411	19.0459
412	19.4115
413	19.3652
414	18.9590
415	18.9570
416	19.5607
417	21.2835
418	22.4851
419	24.7884
420	24.6716
421	25.1760
422	26.4844
423	28.2107
424	31.4212
425	32.5904
426	33.6917
427	33.4424
428	35.3523
429	34.7235
430	35.6841
431	36.0237
432	39.7929
433	41.3048
434	42.8601
435	45.9517
436	45.0891
437	47.5230
438	47.1706
439	48.7530
440	52.7768
441	52.4527
442	57.7240
443	55.3196
444	53.7829
445	48.8830
446	47.2976
447	45.6651
448	45.0391
449	44.8511
450	46.1213
451	48.4146
452	52.8625
453	56.0444
454	55.3081
455	55.1161
456	54.8735
457	55.7695
458	60.9616
459	62.9432
460	63.3751
461	64.2981
462	65.2927
463	65.3736
464	67.3257
465	66.7491
466	68.0621
467	68.7161
468	68.1908
469	70.3647
470	69.9934
471	74.1118
472	74.4364
473	76.1458
474	80.4891
475	79.0565
476	80.5065
477	80.4889
478	80.5315
479	81.2505
480	82.1739
481	82.1102
482	83.1486
483	84.3928
484	82.9810
485	84.3283
486	84.4046
487	84.7525
488	84.7901
489	85.2174
490	84.7121
491	84.9203
492	84.7152
493	84.8998
494	84.9118
495	84.5747
496	84.7473
497	84.5073
498	84.4148
499	84.0026
500	85.0907
501	84.5183
502	85.2048
503	85.4819
504	84.4984
505	84.4234
506	83.8407
507	83.6188
508	83.5255
509	83.9027
510	85.4345
511	85.9612
512	86.4203
513	86.1129
514	86.1756
515	86.4173
516	86.1452
517	86.5900
518	86.2699
519	85.7448
520	86.4632
521	86.0265
522	85.9642
523	86.5383
524	86.4549
525	86.0217
526	86.1735
527	86.0659
528	86.2418
529	86.0883
530	87.2114
531	87.1419
532	87.2365
533	86.3765
534	86.2764
535	85.8373
536	85.6645
537	84.6334
538	84.7181
539	84.8417
540	84.5582
541	85.0289
542	85.1064
543	85.2444
544	86.5988
545	86.7146
546	86.7778
547	86.9265
548	87.3885
549	87.1906
550	86.8040
551	87.4112
552	86.6607
553	86.3312
554	86.9467
555	86.4796
556	86.4121
557	86.3926
558	86.2784
559	86.5058
560	86.7299
561	86.7025
562	86.2508
563	86.0361
564	85.9469
565	85.9726
566	85.9857
567	86.4302
568	85.9437
569	85.9518
570	85.5920
571	85.3470
572	85.6978
573	85.8224
574	85.4549
575	85.1523
576	85.4029
577	85.7384
578	85.2540
579	85.2405
580	84.7298
581	85.2050
582	84.8713
583	85.1466
584	84.5631
585	84.8243
586	85.0811
587	85.0507
588	85.2186
589	85.1793
590	84.8941
591	85.4945
592	85.4856
593	85.9761
594	86.4691
595	86.3329
596	86.5594
597	86.3024
598	84.7726
599	84.3572
600	84.8687
601	84.6329
602	84.0865
603	84.1159
604	83.9175
605	84.2096
606	83.8012
607	84.9647
608	84.2380
609	83.8280
610	84.0673
611	84.1255
612	84.3060
613	85.4322
614	86.0514
615	86.2210
616	85.4707
617	84.2402
618	85.1150
619	83.6491
620	83.4723
621	84.4484
622	85.3373
623	85.3450
624	85.0544
625	85.8713
626	86.8982
627	86.7286
628	87.8502
629	88.8839
630	88.3186
631	89.1782
632	89.0800
633	89.6493
634	88.1150
635	87.0301
636	85.9466
637	84.6047
638	84.1476
639	83.1143
640	80.5664
641	80.0809
642	80.0631
643	80.1114
644	79.7847
645	79.1659
646	77.9337
647	76.2748
648	74.6796
649	73.6742
650	72.3249
651	72.8058
652	73.3165
653	72.4228
654	71.3751
655	70.2598
656	71.3464
657	70.8429
658	69.9377
659	69.7615
660	69.2952
661	69.4654
662	80.3756
663	79.1810
664	78.9801
665	85.4232
666	122.1254
667	159.4235
668	190.2587
669	197.0564
670	172.0777
671	192.9354
672	172.8385
673	189.8530
674	186.1249
675	186.6844
676	207.7324
677	239.0422
678	247.0319
679	274.8625
680	267.9281
681	186.6205
682	251.5607
683	189.3711
684	176.7126
685	159.9732
686	215.7984
687	202.2356
688	185.5633
689	201.5788
690	175.5274
691	176.6572
692	186.0314
693	231.6029
694	272.8408
695	252.4830
696	253.0014
697	260.0419
698	242.1597
699	267.4025
700	253.8046
701	252.6232
702	287.8899
703	252.2891
704	248.5881
705	251.0946
706	229.6266
707	337.8722
708	274.5897
709	204.0364
710	174.0893
