Frame	RMSE
1	0.6492
2	0.6367
3	0.6328
4	0.6369
5	0.6327
6	0.6372
7	0.6321
8	0.6315
9	0.6360
10	0.6377
11	0.6387
12	0.6356
13	0.6365
14	0.6350
15	0.6405
16	0.6388
17	0.6322
18	0.6326
19	0.6321
20	0.6353
21	0.6351
22	0.6435
23	0.6342
24	0.6354
25	0.6377
26	0.6354
27	0.6384
28	0.6359
29	0.6360
30	0.6374
31	0.6378
32	0.6355
33	0.6398
34	0.6365
35	0.6342
36	0.6385
37	0.6372
38	0.6398
39	0.6335
40	0.6356
41	0.6368
42	0.6391
43	0.6366
44	0.6397
45	0.6369
46	0.6364
47	0.6340
48	0.6362
49	0.6369
50	0.6315
51	0.6370
52	0.6354
53	0.6331
54	0.6292
55	0.6319
56	0.6349
57	0.6321
58	0.6338
59	0.6357
60	0.6303
61	0.6356
62	0.6371
63	0.6380
64	0.6406
65	0.6412
66	0.6374
67	0.6364
68	0.6348
69	0.6386
70	0.6376
71	0.6331
72	0.6291
73	0.6323
74	0.6274
75	0.6253
76	0.6234
77	0.6296
78	0.6343
79	0.6332
80	0.6293
81	0.6258
82	0.6257
83	0.6248
84	0.6279
85	0.6258
86	0.6317
87	0.6299
88	0.6242
89	0.6261
90	0.6202
91	0.6280
92	0.6284
93	0.6279
94	0.6326
95	0.6286
96	0.6266
97	0.6262
98	0.6303
99	0.6359
100	0.6385
101	0.7759
102	0.7297
103	0.7567
104	0.6354
105	0.6268
106	0.6061
107	0.6899
108	0.6846
109	0.6364
110	0.6906
111	0.8066
112	0.8634
113	0.7275
114	0.6746
115	0.8071
116	0.8154
117	0.8146
118	0.9628
119	1.0543
120	0.9820
121	0.8925
122	0.8319
123	0.8352
124	0.8248
125	0.7628
126	0.8922
127	1.0689
128	1.2473
129	1.3005
130	1.4033
131	1.5522
132	1.7325
133	1.9899
134	2.3091
135	2.5040
136	2.7132
137	3.0440
138	3.2877
139	3.5703
140	3.7474
141	3.8345
142	4.0836
143	4.1043
144	4.0650
145	3.9202
146	3.9972
147	4.4399
148	4.8203
149	5.2100
150	5.6158
151	5.9853
152	6.4247
153	6.9452
154	7.1805
155	7.3479
156	8.0297
157	8.7733
158	8.5552
159	8.1850
160	8.4884
161	8.8622
162	8.4660
163	8.1854
164	8.4901
165	8.3186
166	8.1086
167	8.2264
168	8.2135
169	8.2061
170	8.2728
171	8.5258
172	8.6644
173	8.7384
174	9.0331
175	9.3425
176	9.6386
177	9.7648
178	9.5534
179	9.2882
180	9.2485
181	9.0481
182	8.9725
183	8.8872
184	9.1095
185	9.0122
186	8.8065
187	8.5894
188	8.3202
189	8.0751
190	7.9046
191	7.5912
192	7.4052
193	7.1904
194	6.8792
195	6.6937
196	6.4224
197	6.3847
198	6.2145
199	6.1988
200	5.9629
201	5.6903
202	5.5477
203	5.3831
204	5.3181
205	5.1028
206	5.0154
207	4.8715
208	4.4247
209	3.9966
210	3.8519
211	3.7877
212	3.9899
213	3.8853
214	4.2690
215	4.3074
216	6.0942
217	4.1019
218	5.5245
219	7.8814
220	4.8383
221	4.7923
222	5.1151
223	3.3474
224	7.8259
225	5.1982
226	3.5710
227	5.9105
228	2.6151
229	4.6967
230	5.2322
231	1.4436
232	5.4820
233	4.3113
234	1.7075
235	5.6871
236	3.1903
237	5.0211
238	7.0832
239	0.9804
240	7.3819
241	6.4400
242	3.4628
243	7.5889
244	3.3489
245	2.9290
246	5.4728
247	2.9876
248	3.0330
249	2.9776
250	0.9591
251	3.1618
252	3.9499
253	2.6820
254	1.6554
255	2.0886
256	1.9746
257	2.1379
258	2.2275
259	1.9025
260	1.6969
261	1.7139
262	1.8671
263	2.1144
264	2.1715
265	2.1080
266	2.0847
267	2.0560
268	2.1464
269	2.0990
270	2.3422
271	2.6378
272	2.8323
273	3.2962
274	3.6435
275	3.8788
276	4.2353
277	4.6354
278	4.9925
279	5.1191
280	5.4401
281	5.7190
282	5.8366
283	5.8896
284	5.7728
285	5.8677
286	6.0209
287	6.1219
288	6.2877
289	6.4629
290	6.5212
291	6.5388
292	6.4731
293	6.4911
294	6.5248
295	6.6667
296	6.8063
297	6.9105
298	6.8822
299	6.8614
300	6.7620
301	6.4884
302	6.3413
303	6.0636
304	6.1184
305	6.2181
306	6.4193
307	6.8087
308	7.1794
309	7.5680
310	8.1477
311	8.5212
312	8.7826
313	9.0018
314	9.1345
315	9.0324
316	8.7187
317	8.5997
318	8.5806
319	8.4400
320	8.1576
321	8.1073
322	7.9097
323	7.7310
324	7.8067
325	7.6631
326	7.1209
327	6.7824
328	6.5740
329	6.3497
330	6.0419
331	5.8427
332	5.9563
333	6.1213
334	6.1618
335	5.7826
336	5.3738
337	5.1464
338	5.2058
339	4.9283
340	4.6852
341	4.6319
342	4.1970
343	3.6097
344	2.9637
345	2.6513
346	2.1081
347	1.7162
348	1.5681
349	1.3777
350	1.0443
351	0.7250
352	0.6514
353	0.6176
354	0.6226
355	0.6601
356	0.7721
357	0.7766
358	0.7103
359	0.8137
360	0.8157
361	0.7483
362	0.6573
363	0.6530
364	0.6779
365	0.6872
366	0.8320
367	0.6397
368	0.6180
369	0.6096
370	0.7214
371	0.7851
372	0.8001
373	0.7185
374	0.6172
375	0.6020
376	0.6101
377	0.5937
378	0.6311
379	0.6513
380	0.7422
381	0.7404
382	0.6679
383	0.6636
384	0.6235
385	0.6269
386	0.6211
387	0.6414
388	0.6187
389	0.6280
390	0.6256
391	0.6400
392	0.6799
393	0.6731
394	0.6614
395	0.6435
396	0.6350
397	0.6414
398	0.6309
399	0.6405
400	0.6221
401	0.6116
402	0.6100
403	0.6025
404	0.5967
405	0.6174
406	0.6690
407	0.8223
408	0.7615
409	0.6990
410	0.6230
411	0.6124
412	0.6128
413	0.6142
414	0.6110
415	0.6475
416	0.7506
417	0.7674
418	0.7582
419	0.6854
