Frame	RMSE
1	0.5384
2	0.5268
3	0.5079
4	0.5452
5	0.5219
6	0.5407
7	0.5248
8	0.5205
9	0.5329
10	0.5333
11	0.5423
12	0.5449
13	0.5232
14	0.5274
15	0.5454
16	0.5263
17	0.5341
18	0.5230
19	0.5285
20	0.5365
21	0.5224
22	0.5589
23	0.5289
24	0.5666
25	0.5618
26	0.5338
27	0.5278
28	0.5264
29	0.5474
30	0.5578
31	0.5413
32	0.5288
33	0.5618
34	0.5358
35	0.5353
36	0.5279
37	0.5441
38	0.5212
39	0.5478
40	0.5417
41	0.5188
42	0.5751
43	0.5454
44	0.5567
45	0.5517
46	0.5591
47	0.5282
48	0.5658
49	0.5768
50	0.5329
51	0.5536
52	0.5728
53	0.5202
54	0.5722
55	0.5365
56	0.5592
57	0.5328
58	0.5809
59	0.5429
60	0.5349
61	0.5721
62	0.5474
63	0.5392
64	0.5487
65	0.5492
66	0.5593
67	0.5226
68	0.5550
69	0.5388
70	0.5462
71	0.5254
72	0.5081
73	0.5167
74	0.5653
75	0.5040
76	0.5613
77	0.5425
78	0.5497
79	0.5412
80	0.5306
81	0.5035
82	0.5426
83	0.5236
84	0.5592
85	0.5191
86	0.5497
87	0.5176
88	0.5351
89	0.5259
90	0.5695
91	0.5346
92	0.5390
93	0.5294
94	0.5439
95	0.5094
96	0.5354
97	0.5339
98	0.5268
99	0.5497
100	0.5227
101	0.6423
102	0.5831
103	0.6065
104	0.5652
105	0.6339
106	0.5891
107	0.5801
108	0.6069
109	0.5483
110	0.6650
111	0.6829
112	0.7624
113	0.6253
114	0.6061
115	0.7191
116	0.7267
117	0.7212
118	0.8312
119	0.9560
120	0.9077
121	0.8426
122	0.7850
123	0.7841
124	0.7878
125	0.7672
126	0.8151
127	0.9820
128	1.1836
129	1.1782
130	1.3348
131	1.5453
132	1.6929
133	1.9027
134	2.2199
135	2.4156
136	2.6417
137	2.9997
138	3.2190
139	3.4863
140	3.7542
141	3.8854
142	4.1181
143	4.1071
144	4.0343
145	3.9485
146	4.0097
147	4.5029
148	4.8843
149	5.3713
150	5.7123
151	6.1580
152	6.5872
153	7.2184
154	7.4723
155	7.6308
156	8.4182
157	9.2327
158	8.9439
159	8.4938
160	8.9627
161	9.3061
162	8.8785
163	8.6110
164	8.8586
165	8.5719
166	8.3209
167	8.5831
168	8.5423
169	8.5750
170	8.6328
171	9.0072
172	9.1917
173	9.1704
174	9.6439
175	9.9527
176	10.3219
177	10.3319
178	10.1275
179	9.8197
180	9.7200
181	9.5560
182	9.4987
183	9.4686
184	9.6721
185	9.3920
186	9.1945
187	9.1211
188	8.7722
189	8.4245
190	8.1623
191	7.8320
192	7.5502
193	7.2980
194	6.9328
195	6.7475
196	6.4572
197	6.4371
198	6.1996
199	6.0270
200	5.8291
201	5.5635
202	5.3826
203	5.2852
204	5.1379
205	5.0022
206	4.7101
207	4.6841
208	4.2135
209	3.8116
210	3.6154
211	3.5278
212	3.8221
213	3.6384
214	4.0480
215	4.1446
216	6.0445
217	3.9250
218	5.1877
219	7.6429
220	4.6474
221	4.8009
222	5.0995
223	3.1406
224	7.6042
225	5.1114
226	3.5076
227	5.9110
228	2.4434
229	4.6896
230	5.1274
231	1.2923
232	5.3663
233	4.3006
234	1.7627
235	5.5873
236	3.0539
237	5.1983
238	6.8896
239	0.9136
240	7.2698
241	6.3958
242	3.5442
243	7.6249
244	3.2835
245	2.9851
246	5.3619
247	2.8393
248	2.9649
249	2.9273
250	0.9665
251	3.1114
252	3.9452
253	2.7142
254	1.7273
255	2.1824
256	2.0426
257	2.3190
258	2.4798
259	1.9771
260	1.6382
261	1.7774
262	1.8493
263	2.1251
264	2.2256
265	2.1487
266	2.1978
267	2.0381
268	2.2265
269	2.1764
270	2.4387
271	2.8452
272	3.0195
273	3.2964
274	3.7439
275	3.9522
276	4.4094
277	4.7976
278	5.0448
279	5.2512
280	5.5444
281	5.9273
282	5.9297
283	5.9013
284	5.8161
285	5.9725
286	6.1288
287	6.1080
288	6.3247
289	6.3866
290	6.4990
291	6.4277
292	6.4523
293	6.4595
294	6.4358
295	6.5195
296	6.7003
297	6.8070
298	6.7809
299	6.7080
300	6.6322
301	6.2121
302	6.1584
303	5.8738
304	5.8775
305	5.9780
306	6.1913
307	6.6197
308	6.9128
309	7.2657
310	7.8613
311	8.1920
312	8.4841
313	8.5998
314	8.7413
315	8.5500
316	8.4742
317	8.2945
318	8.3353
319	8.0288
320	7.9344
321	7.8966
322	7.6892
323	7.3594
324	7.6424
325	7.3296
326	6.9293
327	6.5413
328	6.3620
329	6.1317
330	5.8524
331	5.6070
332	5.8119
333	5.9175
334	5.9587
335	5.5555
336	5.1866
337	4.9857
338	5.1046
339	4.7636
340	4.5927
341	4.5782
342	4.1231
343	3.5849
344	2.9932
345	2.6789
346	2.1928
347	1.7142
348	1.6303
349	1.3910
350	1.0909
351	0.7004
352	0.5906
353	0.5651
354	0.5512
355	0.5680
356	0.6785
357	0.6734
358	0.6202
359	0.7361
360	0.7542
361	0.7371
362	0.5958
363	0.5808
364	0.6780
365	0.6641
366	0.8140
367	0.6744
368	0.6453
369	0.6025
370	0.6669
371	0.7376
372	0.7461
373	0.6641
374	0.5500
375	0.5614
376	0.5344
377	0.5548
378	0.6253
379	0.6298
380	0.6744
381	0.6955
382	0.6606
383	0.6014
384	0.6200
385	0.5718
386	0.6363
387	0.6394
388	0.6188
389	0.5850
390	0.5977
391	0.6469
392	0.6228
393	0.6516
394	0.6379
395	0.6000
396	0.6144
397	0.6217
398	0.5574
399	0.5949
400	0.5721
401	0.5752
402	0.5583
403	0.5783
404	0.5842
405	0.6150
406	0.6444
407	0.7729
408	0.7411
409	0.6443
410	0.5481
411	0.5892
