Frame	RMSE
1	0.5311
2	0.5542
3	0.5458
4	0.5435
5	0.5468
6	0.5383
7	0.5623
8	0.5658
9	0.5645
10	0.5643
11	0.5729
12	0.5749
13	0.5897
14	0.6032
15	0.6084
16	0.6217
17	0.6151
18	0.6380
19	0.6325
20	0.6262
21	0.5947
22	0.5962
23	0.5785
24	0.5754
25	0.5645
26	0.5719
27	0.5632
28	0.5690
29	0.5677
30	0.5716
31	0.5940
32	0.5920
33	0.5846
34	0.5843
35	0.5817
36	0.5762
37	0.5680
38	0.5812
39	0.5742
40	0.5763
41	0.5627
42	0.5914
43	0.5744
44	0.5743
45	0.5878
46	0.5884
47	0.5932
48	0.5856
49	0.5923
50	0.5965
51	0.5941
52	0.6034
53	0.5912
54	0.5942
55	0.5941
56	0.5975
57	0.5833
58	0.5774
59	0.5764
60	0.5719
61	0.5800
62	0.5977
63	0.5881
64	0.5933
65	0.5896
66	0.6141
67	0.6217
68	0.6413
69	0.6450
70	0.6624
71	0.6349
72	0.6175
73	0.6091
74	0.6670
75	0.6648
76	0.6721
77	0.6889
78	0.7305
79	0.7591
80	0.8057
81	0.7829
82	0.7734
83	0.6784
84	0.6383
85	0.6026
86	0.6056
87	0.5788
88	0.5900
89	0.5949
90	0.6547
91	0.7371
92	0.8409
93	0.8631
94	0.8586
95	0.8654
96	0.8614
97	0.8148
98	0.7873
99	0.7495
100	0.7351
101	0.6780
102	0.7002
103	0.7877
104	0.7695
105	0.7799
106	0.7549
107	0.7697
108	0.7504
109	0.7100
110	0.8032
111	0.8198
112	0.8280
113	0.7573
114	0.7160
115	0.6976
116	0.7602
117	0.6993
118	0.7183
119	0.7323
120	0.7519
121	0.7353
122	0.7345
123	0.7402
124	0.7581
125	0.7674
126	0.7794
127	0.8147
128	0.8142
129	0.8453
130	0.8719
131	0.8436
132	0.8757
133	0.7809
134	0.8419
135	0.8884
136	0.9285
137	0.9108
138	1.0226
139	1.0188
140	0.9854
141	1.0636
142	1.1410
143	1.1332
144	1.0685
145	1.0780
146	1.1207
147	1.0780
148	1.1315
149	1.1468
150	1.1143
151	1.1576
152	1.1744
153	1.2282
154	1.1769
155	1.2305
156	1.1858
157	1.1946
158	1.2215
159	1.2583
160	1.2611
161	1.2559
162	1.3378
163	1.3111
164	1.4536
165	1.4486
166	1.4416
167	1.5207
168	1.6136
169	1.5894
170	1.6657
171	1.7515
172	1.8582
173	1.7369
174	1.8140
175	1.8758
176	1.8339
177	2.0308
178	1.9904
179	10.6199
180	14.9091
181	14.8061
182	14.5594
183	14.2114
184	14.5887
185	13.8863
186	13.0656
187	12.8267
188	12.4265
189	12.0764
190	11.7183
191	11.4342
192	10.8597
193	10.5745
194	10.2752
195	10.0646
196	8.5224
197	7.4351
198	6.9230
199	6.5237
200	4.2933
201	4.1389
202	3.6157
203	3.0493
204	2.2524
205	1.5852
206	1.6288
207	1.5706
208	1.4670
209	1.5280
210	1.6699
211	1.4479
212	1.5849
213	1.5982
214	1.6445
215	1.7910
216	1.9048
217	1.8272
218	1.9430
219	1.9846
220	2.0441
221	2.2142
222	2.7165
223	2.5419
224	2.8931
225	3.1707
226	3.5750
227	3.8185
228	3.9367
229	3.8328
230	3.9377
231	3.9775
232	4.1496
233	4.0657
234	4.0267
235	3.9297
236	4.1134
237	4.1026
238	4.1921
239	4.0800
240	4.0490
241	4.2013
242	3.9515
243	4.2807
244	4.0186
245	4.0070
246	4.1216
247	4.2771
248	4.3784
249	4.3382
250	4.1737
251	4.2222
252	4.0247
253	4.1298
254	3.7478
255	3.7117
256	3.7305
257	3.7981
258	4.1913
259	4.5013
260	4.3141
261	4.1570
262	4.1481
263	4.0235
264	4.0518
265	4.1538
266	4.2123
267	4.0055
268	4.1460
269	3.7705
270	3.8094
271	3.5893
272	3.2514
273	3.2750
274	3.3333
275	3.3725
276	3.2126
277	3.6020
278	3.3931
279	3.3409
280	3.2410
281	3.2282
282	3.1107
283	3.1562
284	3.2895
285	3.2296
286	3.4386
287	3.4994
288	3.2762
289	3.4131
290	3.4954
291	3.7577
292	3.4704
293	3.2534
294	3.3538
295	3.5809
296	3.5645
297	3.4551
298	3.4480
299	3.3546
300	3.4242
301	3.4215
302	3.5581
303	3.4423
304	3.5001
305	3.4160
306	3.5479
307	3.4233
308	3.2752
309	3.2437
310	3.4198
311	3.6934
312	3.5485
313	3.4367
314	3.3673
315	3.2744
316	3.4004
317	3.3611
318	3.4475
319	3.1717
320	3.3063
321	3.4241
322	3.2080
323	3.2027
324	3.3661
325	3.2527
326	3.1862
327	3.1822
328	3.0732
329	2.8463
330	3.0158
331	2.9593
332	3.0369
333	3.0702
334	3.0041
335	2.9457
336	2.9460
337	2.7985
338	2.7946
339	2.9054
340	3.2693
341	2.9444
342	2.9878
343	2.9776
344	2.7331
345	2.7148
346	2.9302
347	2.9017
348	2.9917
349	3.0363
350	3.0194
351	2.8824
352	2.7476
353	2.8105
354	2.6616
355	2.6376
356	2.3486
357	2.5513
358	2.2800
359	2.4349
360	2.5441
361	2.5639
362	2.5490
363	2.6657
364	2.7194
365	2.9418
366	2.9325
367	2.9502
368	3.0583
369	2.8789
370	2.8478
371	2.9617
372	3.1901
373	3.2081
374	3.1411
375	3.1682
376	3.1753
377	2.9663
378	2.9599
379	2.8181
380	2.9824
381	2.9180
382	3.2813
383	3.1043
384	3.2960
385	3.0879
386	3.1108
387	3.3484
388	3.0902
389	3.3092
390	3.4219
391	3.2375
392	3.5456
393	3.5804
394	3.6701
395	3.1505
396	3.5560
397	3.1238
398	2.7844
399	2.3221
400	2.2931
401	2.0972
402	1.9414
403	2.0748
404	1.9296
405	1.7632
406	1.7957
407	1.8286
408	1.7449
409	1.7663
410	1.9335
411	1.8924
412	1.8596
413	1.9262
414	1.8396
415	1.8090
416	1.9426
417	1.8971
418	1.8400
419	1.5927
420	1.5475
421	1.5728
422	1.3667
423	1.4212
424	1.3785
425	1.4022
426	1.2907
427	1.3544
428	1.2525
429	1.2989
430	1.4212
431	1.2881
432	1.2624
433	1.1830
434	1.2091
435	1.1006
436	1.0253
437	0.9674
438	0.9987
439	0.9883
440	0.9198
441	0.9168
442	0.8608
443	0.8597
444	0.8705
445	0.8109
446	0.8785
447	0.8037
448	0.7467
449	0.7648
450	0.7731
451	0.7358
452	0.7444
453	0.7654
454	0.7255
455	0.7507
456	0.7800
457	0.7801
458	0.7038
459	0.6347
460	0.6438
461	0.5967
462	0.5926
463	0.5906
464	0.5909
465	0.5659
466	0.5655
467	0.5758
468	0.5837
469	0.5960
470	0.5731
471	0.5814
472	0.5998
473	0.5828
474	0.5647
475	0.5612
476	0.5801
477	0.5864
478	0.5785
479	0.5924
480	0.6204
481	0.6180
482	0.6244
483	0.6117
484	0.6284
485	0.6335
486	0.6315
487	0.6197
488	0.6150
489	0.6312
490	0.6384
491	0.6380
492	0.6308
493	0.6485
494	0.6317
495	0.6359
496	0.6271
497	0.6235
498	0.6333
499	0.6305
500	0.6098
501	0.6297
502	0.6382
503	0.6433
504	0.6532
505	0.6434
506	0.6477
507	0.6561
508	0.6407
509	0.6322
510	0.6308
511	0.6324
512	0.6610
513	0.6478
