Frame	RMSE
1	0.4981
2	0.5324
3	0.5146
4	0.5170
5	0.5123
6	0.5128
7	0.5447
8	0.5363
9	0.5343
10	0.5219
11	0.5399
12	0.5395
13	0.5630
14	0.5844
15	0.5826
16	0.5888
17	0.5918
18	0.6177
19	0.6013
20	0.6055
21	0.5467
22	0.5612
23	0.5429
24	0.5218
25	0.4936
26	0.5065
27	0.5087
28	0.5301
29	0.5321
30	0.5047
31	0.5667
32	0.5575
33	0.5691
34	0.5530
35	0.5300
36	0.5213
37	0.5144
38	0.5137
39	0.5461
40	0.5483
41	0.5437
42	0.5913
43	0.5446
44	0.5644
45	0.5937
46	0.5601
47	0.5692
48	0.5905
49	0.5874
50	0.5837
51	0.6003
52	0.5846
53	0.5936
54	0.5671
55	0.5705
56	0.5525
57	0.5392
58	0.5424
59	0.5406
60	0.5369
61	0.5636
62	0.5811
63	0.5686
64	0.5581
65	0.6106
66	0.6132
67	0.6079
68	0.6537
69	0.6587
70	0.6888
71	0.6831
72	0.7052
73	0.6961
74	0.8037
75	0.7749
76	0.7573
77	0.7764
78	0.7851
79	0.8261
80	0.8677
81	0.7968
82	0.7495
83	0.6960
84	0.6037
85	0.5871
86	0.5707
87	0.5780
88	0.6210
89	0.5268
90	0.6122
91	0.8511
92	1.0338
93	1.0501
94	1.0267
95	1.0077
96	0.9020
97	0.8928
98	0.7806
99	0.7482
100	0.7117
101	0.5766
102	0.6534
103	0.7950
104	0.7560
105	0.6611
106	0.7275
107	0.6739
108	0.5578
109	0.5445
110	0.6615
111	0.5507
112	0.6340
113	0.7647
114	0.6621
115	0.6067
116	0.6182
117	0.9082
118	0.7688
119	0.7536
120	0.6765
121	0.8547
122	0.8012
123	0.7223
124	0.7433
125	0.7438
126	0.7340
127	0.8975
128	0.6937
129	0.6998
130	0.6654
131	0.6073
132	0.6343
133	0.5503
134	0.5145
135	0.5680
136	0.5834
137	0.5835
138	0.6484
139	0.5774
140	0.5773
141	0.6485
142	0.6971
143	0.7734
144	0.5960
145	0.6152
146	0.5668
147	0.6546
148	0.7409
149	0.8478
150	0.7423
151	0.7298
152	0.8750
153	1.0142
154	0.7262
155	0.7655
156	0.7581
157	0.9726
158	0.6205
159	0.6941
160	0.7354
161	0.9366
162	0.9417
163	0.8382
164	1.0356
165	1.0463
166	1.2170
167	1.1990
168	0.9688
169	0.7810
170	1.0331
171	0.9868
172	0.8601
173	0.8917
174	0.9068
175	1.1094
176	1.0672
177	1.1666
178	1.4209
179	1.5419
180	1.3691
181	1.4512
182	1.4109
183	1.3261
184	1.2893
185	1.0866
186	1.0206
187	0.9537
188	1.1105
189	1.0243
190	0.9798
191	1.0194
192	1.0162
193	1.0152
194	1.0675
195	1.1155
196	1.1278
197	1.2045
198	1.1491
199	1.1864
200	1.3668
201	1.2078
202	1.3001
203	1.4146
204	1.4330
205	1.3239
206	1.3399
207	1.2864
208	1.2772
209	1.3276
210	1.3735
211	1.2281
212	1.4136
213	1.3599
214	1.3894
215	1.4793
216	1.5145
217	1.5948
218	1.6449
219	1.5432
